studyDay,tod,LAMP3,SERPING1,TNFAIP6,IFI27,IFI44,IFI44L,IFI6,IFIT1,IFIT2,IFIT3,RSAD2,RTP4,SIGLEC1,ISG15,ATF3,MX1,DDX58,LY6E,HERC5,OAS1,OAS2,OAS3,OASL,XAF1
-3.0,0.0,4.0,2.0,21.0,2.0,47.0,56.0,90.0,98.0,564.0,226.0,71.0,25.0,8.0,82.0,0.0,236.0,352.0,65.0,95.0,193.0,292.0,87.0,65.0,130.0
-3.0,1.0,4.0,4.0,55.0,4.0,82.0,51.0,133.0,111.0,828.0,376.0,67.0,21.0,2.0,71.0,2.0,257.0,434.0,51.0,95.0,218.0,239.0,81.0,87.0,158.0
-3.0,2.0,2.0,9.0,54.0,10.0,56.0,80.0,155.0,112.0,811.0,358.0,54.0,33.0,9.0,98.0,5.0,307.0,431.0,62.0,120.0,223.0,311.0,103.0,101.0,203.0
-2.0,0.0,5.0,4.0,36.0,3.0,82.0,61.0,104.0,113.0,532.0,260.0,47.0,32.0,4.0,54.0,5.0,130.0,305.0,51.0,65.0,174.0,197.0,41.0,54.0,109.0
-2.0,1.0,3.0,9.0,35.0,3.0,43.0,38.0,85.0,80.0,553.0,240.0,54.0,30.0,4.0,69.0,2.0,184.0,292.0,58.0,64.0,173.0,192.0,56.0,63.0,138.0
-2.0,2.0,0.0,7.0,40.0,11.0,48.0,66.0,102.0,112.0,491.0,256.0,45.0,28.0,9.0,82.0,4.0,239.0,368.0,61.0,63.0,186.0,262.0,73.0,66.0,161.0
-1.0,0.0,0.0,0.0,21.0,3.0,18.0,15.0,31.0,18.0,184.0,69.0,13.0,8.0,0.0,22.0,2.0,64.0,109.0,16.0,25.0,46.0,75.0,19.0,18.0,45.0
-1.0,1.0,19.0,18.0,206.0,19.0,200.0,265.0,483.0,513.0,3179.0,1528.0,271.0,102.0,23.0,322.0,12.0,1033.0,1695.0,250.0,378.0,869.0,1078.0,404.0,354.0,619.0
-1.0,2.0,6.0,14.0,48.0,5.0,110.0,109.0,163.0,141.0,800.0,397.0,91.0,34.0,15.0,126.0,2.0,384.0,701.0,127.0,112.0,331.0,429.0,165.0,116.0,219.0
0.0,0.0,7.0,13.0,54.0,12.0,90.0,108.0,164.0,160.0,827.0,404.0,96.0,44.0,13.0,131.0,5.0,370.0,591.0,112.0,133.0,296.0,406.0,118.0,105.0,233.0
0.0,1.0,3.0,5.0,29.0,8.0,45.0,62.0,110.0,91.0,513.0,262.0,58.0,25.0,6.0,62.0,2.0,202.0,355.0,75.0,80.0,160.0,186.0,62.0,71.0,123.0
0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,9.0,4.0,63.0,11.0,92.0,110.0,128.0,122.0,790.0,394.0,80.0,45.0,12.0,93.0,4.0,328.0,490.0,97.0,129.0,244.0,343.0,95.0,104.0,184.0
1.0,1.0,6.0,14.0,96.0,16.0,137.0,165.0,284.0,225.0,1404.0,714.0,137.0,56.0,17.0,242.0,7.0,510.0,908.0,137.0,181.0,441.0,549.0,179.0,210.0,325.0
1.0,2.0,3.0,5.0,30.0,9.0,42.0,69.0,115.0,86.0,485.0,210.0,59.0,25.0,4.0,71.0,2.0,221.0,380.0,53.0,65.0,185.0,300.0,90.0,72.0,186.0
2.0,0.0,5.0,6.0,64.0,7.0,97.0,108.0,163.0,167.0,852.0,447.0,102.0,35.0,9.0,120.0,3.0,349.0,573.0,93.0,133.0,275.0,385.0,135.0,102.0,207.0
2.0,1.0,2.0,6.0,52.0,10.0,96.0,104.0,187.0,130.0,823.0,510.0,82.0,44.0,7.0,109.0,4.0,285.0,552.0,92.0,114.0,323.0,338.0,135.0,134.0,232.0
2.0,2.0,1.0,1.0,27.0,4.0,42.0,60.0,110.0,85.0,593.0,285.0,48.0,22.0,5.0,92.0,8.0,215.0,366.0,60.0,78.0,207.0,269.0,92.0,73.0,171.0
3.0,0.0,7.0,4.0,25.0,8.0,48.0,77.0,138.0,102.0,545.0,232.0,76.0,24.0,12.0,80.0,1.0,290.0,402.0,82.0,93.0,206.0,290.0,112.0,67.0,171.0
3.0,1.0,7.0,5.0,41.0,7.0,76.0,90.0,155.0,113.0,606.0,369.0,67.0,38.0,6.0,122.0,1.0,222.0,382.0,65.0,76.0,198.0,278.0,73.0,101.0,181.0
3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0.0,5.0,3.0,31.0,7.0,50.0,47.0,82.0,97.0,477.0,219.0,54.0,18.0,6.0,59.0,0.0,177.0,268.0,50.0,66.0,134.0,193.0,58.0,54.0,96.0
4.0,1.0,2.0,6.0,56.0,4.0,49.0,70.0,126.0,106.0,655.0,347.0,66.0,25.0,3.0,85.0,0.0,216.0,400.0,61.0,76.0,189.0,210.0,68.0,78.0,139.0
